,total,dSOAP,total,dSOAP,n robots,n pos,longest path,n vcs,n robots had vcs,n ecs,n robots had ecs,n fake ecs,n robots had fake ecs
BM13,0.3587284088134765,20.0,0.6936969757080078,20.0,10,341,47,82,8,0,0,0,0
BM14,0.7117290496826172,-353.0,0.7176113128662109,-349.0,20,326,32,32,6,0,0,0,0
BM20,0.0748004913330078,-116.0,0.0727958679199218,-116.0,20,124,7,8,8,0,0,0,0
BM22,3.358461380004883,546.0,,,32,983,36,122,32,0,0,0,0
BM23,0.4872074127197265,120.0,2.8266334533691406,120.0,16,327,22,56,16,0,0,0,0
BM25,1.4126949310302734,-177.0,0.6497764587402344,-65.0,30,538,26,18,9,0,0,0,0
BM26,1.7704544067382812,-429.0,1.6687145233154297,-362.0,30,250,17,16,11,0,0,2,2
